Date,Open,High,Low,Close
12/30/2016,"13.68","13.68","13.68","13.68"
12/29/2016,"13.81","13.81","13.81","13.81"
12/28/2016,"13.81","13.81","13.81","13.81"
12/27/2016,"14.01","14.01","14.01","14.01"
12/23/2016,"14.71","14.71","14.71","14.71"
12/22/2016,"14.61","14.61","14.61","14.61"
12/21/2016,"14.71","14.71","14.71","14.71"
12/20/2016,"14.74","14.74","14.74","14.74"
12/19/2016,"14.63","14.63","14.63","14.63"
12/16/2016,"14.61","14.61","14.61","14.61"
12/15/2016,"14.64","14.64","14.64","14.64"
12/14/2016,"14.55","14.55","14.55","14.55"
12/13/2016,"14.56","14.56","14.56","14.56"
12/12/2016,"14.45","14.45","14.45","14.45"
12/09/2016,"14.56","14.56","14.56","14.56"
12/08/2016,"14.54","14.54","14.54","14.54"
12/07/2016,"14.47","14.47","14.47","14.47"
12/06/2016,"14.37","14.37","14.37","14.37"
12/05/2016,"14.28","14.28","14.28","14.28"
12/02/2016,"14.09","14.09","14.09","14.09"
12/01/2016,"14.04","14.04","14.04","14.04"
11/30/2016,"14.28","14.28","14.28","14.28"
11/29/2016,"14.42","14.42","14.42","14.42"
11/28/2016,"14.39","14.39","14.39","14.39"
11/25/2016,"14.52","14.52","14.52","14.52"
11/23/2016,"14.48","14.48","14.48","14.48"
11/22/2016,"14.45","14.45","14.45","14.45"
11/21/2016,"14.48","14.48","14.48","14.48"
11/18/2016,"14.36","14.36","14.36","14.36"
11/17/2016,"14.39","14.39","14.39","14.39"
11/16/2016,"14.28","14.28","14.28","14.28"
11/15/2016,"14.22","14.22","14.22","14.22"
11/14/2016,"14.05","14.05","14.05","14.05"
11/11/2016,"14.14","14.14","14.14","14.14"
11/10/2016,"13.87","13.87","13.87","13.87"
11/09/2016,"13.99","13.99","13.99","13.99"
11/08/2016,"13.79","13.79","13.79","13.79"
11/07/2016,"13.72","13.72","13.72","13.72"
11/04/2016,"13.37","13.37","13.37","13.37"
11/03/2016,"13.35","13.35","13.35","13.35"
11/02/2016,"13.52","13.52","13.52","13.52"
11/01/2016,"13.67","13.67","13.67","13.67"
10/31/2016,"13.75","13.75","13.75","13.75"
10/28/2016,"13.80","13.80","13.80","13.80"
10/27/2016,"13.85","13.85","13.85","13.85"
10/26/2016,"13.95","13.95","13.95","13.95"
10/25/2016,"14.05","14.05","14.05","14.05"
10/24/2016,"14.11","14.11","14.11","14.11"
10/21/2016,"13.99","13.99","13.99","13.99"
10/20/2016,"13.93","13.93","13.93","13.93"
10/19/2016,"13.92","13.92","13.92","13.92"
10/18/2016,"13.88","13.88","13.88","13.88"
10/17/2016,"13.74","13.74","13.74","13.74"
10/14/2016,"13.81","13.81","13.81","13.81"
10/13/2016,"13.83","13.83","13.83","13.83"
10/12/2016,"13.90","13.90","13.90","13.90"
10/11/2016,"13.94","13.94","13.94","13.94"
10/10/2016,"14.16","14.16","14.16","14.16"
10/07/2016,"14.04","14.04","14.04","14.04"
10/06/2016,"14.09","14.09","14.09","14.09"
10/05/2016,"14.20","14.20","14.20","14.20"
10/04/2016,"14.17","14.17","14.17","14.17"
10/03/2016,"14.19","14.19","14.19","14.19"
09/30/2016,"14.20","14.20","14.20","14.20"
09/29/2016,"14.07","14.07","14.07","14.07"
09/28/2016,"14.27","14.27","14.27","14.27"
09/27/2016,"14.25","14.25","14.25","14.25"
09/26/2016,"14.10","14.10","14.10","14.10"
09/23/2016,"14.22","14.22","14.22","14.22"
09/22/2016,"14.33","14.33","14.33","14.33"
09/21/2016,"14.23","14.23","14.23","14.23"
09/20/2016,"14.09","14.09","14.09","14.09"
09/19/2016,"14.05","14.05","14.05","14.05"
09/16/2016,"14.05","14.05","14.05","14.05"
09/15/2016,"14.06","14.06","14.06","14.06"
09/14/2016,"13.86","13.86","13.86","13.86"
09/13/2016,"13.77","13.77","13.77","13.77"
09/12/2016,"13.94","13.94","13.94","13.94"
09/09/2016,"13.70","13.70","13.70","13.70"
09/08/2016,"14.07","14.07","14.07","14.07"
