Date,Open,High,Low,Close
12/31/2008,"4.90","4.90","4.90","4.90"
12/30/2008,"4.82","4.82","4.82","4.82"
12/29/2008,"4.71","4.71","4.71","4.71"
12/26/2008,"4.75","4.75","4.75","4.75"
12/24/2008,"4.72","4.72","4.72","4.72"
12/23/2008,"4.70","4.70","4.70","4.70"
12/22/2008,"4.72","4.72","4.72","4.72"
12/19/2008,"4.83","4.83","4.83","4.83"
12/18/2008,"4.81","4.81","4.81","4.81"
12/17/2008,"4.89","4.89","4.89","4.89"
12/16/2008,"4.89","4.89","4.89","4.89"
12/15/2008,"4.67","4.67","4.67","4.67"
12/12/2008,"4.74","4.74","4.74","4.74"
12/11/2008,"4.68","4.68","4.68","4.68"
12/10/2008,"4.83","4.83","4.83","4.83"
12/09/2008,"4.75","4.75","4.75","4.75"
12/08/2008,"4.82","4.82","4.82","4.82"
12/05/2008,"4.63","4.63","4.63","4.63"
12/04/2008,"4.47","4.47","4.47","4.47"
12/03/2008,"4.61","4.61","4.61","4.61"
12/02/2008,"4.48","4.48","4.48","4.48"
12/01/2008,"4.33","4.33","4.33","4.33"
11/28/2008,"4.72","4.72","4.72","4.72"
11/26/2008,"4.71","4.71","4.71","4.71"
11/25/2008,"4.51","4.51","4.51","4.51"
11/24/2008,"4.49","4.49","4.49","4.49"
11/21/2008,"4.21","4.21","4.21","4.21"
11/20/2008,"4.06","4.06","4.06","4.06"
11/19/2008,"4.36","4.36","4.36","4.36"
11/18/2008,"4.64","4.64","4.64","4.64"
11/17/2008,"4.64","4.64","4.64","4.64"
11/14/2008,"4.72","4.72","4.72","4.72"
11/13/2008,"4.95","4.95","4.95","4.95"
11/12/2008,"4.63","4.63","4.63","4.63"
11/11/2008,"4.92","4.92","4.92","4.92"
11/10/2008,"5.05","5.05","5.05","5.05"
11/07/2008,"5.12","5.12","5.12","5.12"
11/06/2008,"5.00","5.00","5.00","5.00"
11/05/2008,"5.24","5.24","5.24","5.24"
11/04/2008,"5.48","5.48","5.48","5.48"
11/03/2008,"5.29","5.29","5.29","5.29"
10/31/2008,"5.31","5.31","5.31","5.31"
10/30/2008,"5.22","5.22","5.22","5.22"
10/29/2008,"5.03","5.03","5.03","5.03"
10/28/2008,"4.95","4.95","4.95","4.95"
10/27/2008,"4.53","4.53","4.53","4.53"
10/24/2008,"4.74","4.74","4.74","4.74"
10/23/2008,"4.90","4.90","4.90","4.90"
10/22/2008,"4.91","4.91","4.91","4.91"
10/21/2008,"5.19","5.19","5.19","5.19"
10/20/2008,"5.40","5.40","5.40","5.40"
10/17/2008,"5.17","5.17","5.17","5.17"
10/16/2008,"5.17","5.17","5.17","5.17"
10/15/2008,"4.91","4.91","4.91","4.91"
10/14/2008,"5.43","5.43","5.43","5.43"
10/13/2008,"5.55","5.55","5.55","5.55"
10/10/2008,"4.96","4.96","4.96","4.96"
10/09/2008,"5.01","5.01","5.01","5.01"
10/08/2008,"5.30","5.30","5.30","5.30"
10/07/2008,"5.30","5.30","5.30","5.30"
10/06/2008,"5.60","5.60","5.60","5.60"
10/03/2008,"5.87","5.87","5.87","5.87"
10/02/2008,"5.99","5.99","5.99","5.99"
10/01/2008,"6.34","6.34","6.34","6.34"
09/30/2008,"6.41","6.41","6.41","6.41"
09/29/2008,"6.12","6.12","6.12","6.12"
09/26/2008,"6.70","6.70","6.70","6.70"
09/25/2008,"6.79","6.79","6.79","6.79"
09/24/2008,"6.69","6.69","6.69","6.69"
09/23/2008,"6.68","6.68","6.68","6.68"
09/22/2008,"6.77","6.77","6.77","6.77"
09/19/2008,"7.02","7.02","7.02","7.02"
09/18/2008,"6.76","6.76","6.76","6.76"
09/17/2008,"6.52","6.52","6.52","6.52"
09/16/2008,"6.84","6.84","6.84","6.84"
09/15/2008,"6.72","6.72","6.72","6.72"
09/12/2008,"7.00","7.00","7.00","7.00"
09/11/2008,"6.96","6.96","6.96","6.96"
09/10/2008,"6.85","6.85","6.85","6.85"
09/09/2008,"6.75","6.75","6.75","6.75"
09/08/2008,"7.01","7.01","7.01","7.01"
09/05/2008,"7.02","7.02","7.02","7.02"
09/04/2008,"7.01","7.01","7.01","7.01"
09/03/2008,"7.22","7.22","7.22","7.22"
09/02/2008,"7.28","7.28","7.28","7.28"
08/29/2008,"7.39","7.39","7.39","7.39"
08/28/2008,"7.44","7.44","7.44","7.44"
08/27/2008,"7.39","7.39","7.39","7.39"
08/26/2008,"7.37","7.37","7.37","7.37"
08/25/2008,"7.35","7.35","7.35","7.35"
08/22/2008,"7.46","7.46","7.46","7.46"
08/21/2008,"7.40","7.40","7.40","7.40"
08/20/2008,"7.42","7.42","7.42","7.42"
08/19/2008,"7.35","7.35","7.35","7.35"
08/18/2008,"7.40","7.40","7.40","7.40"
08/15/2008,"7.54","7.54","7.54","7.54"
08/14/2008,"7.53","7.53","7.53","7.53"
08/13/2008,"7.50","7.50","7.50","7.50"
08/12/2008,"7.46","7.46","7.46","7.46"
08/11/2008,"7.48","7.48","7.48","7.48"
08/08/2008,"7.43","7.43","7.43","7.43"
08/07/2008,"7.32","7.32","7.32","7.32"
08/06/2008,"7.44","7.44","7.44","7.44"
08/05/2008,"7.37","7.37","7.37","7.37"
08/04/2008,"7.19","7.19","7.19","7.19"
08/01/2008,"7.33","7.33","7.33","7.33"
07/31/2008,"7.48","7.48","7.48","7.48"
07/30/2008,"7.56","7.56","7.56","7.56"
07/29/2008,"7.61","7.61","7.61","7.61"
07/28/2008,"7.47","7.47","7.47","7.47"
07/25/2008,"7.59","7.59","7.59","7.59"
07/24/2008,"7.49","7.49","7.49","7.49"
07/23/2008,"7.61","7.61","7.61","7.61"
07/22/2008,"7.63","7.63","7.63","7.63"
07/21/2008,"7.65","7.65","7.65","7.65"
07/18/2008,"7.60","7.60","7.60","7.60"
07/17/2008,"7.63","7.63","7.63","7.63"
07/16/2008,"7.66","7.66","7.66","7.66"
07/15/2008,"7.58","7.58","7.58","7.58"
07/14/2008,"7.62","7.62","7.62","7.62"
07/11/2008,"7.65","7.65","7.65","7.65"
07/10/2008,"7.71","7.71","7.71","7.71"
07/09/2008,"7.63","7.63","7.63","7.63"
07/08/2008,"7.79","7.79","7.79","7.79"
07/07/2008,"7.67","7.67","7.67","7.67"
07/02/2008,"7.74","7.74","7.74","7.74"
07/01/2008,"7.92","7.92","7.92","7.92"
06/30/2008,"7.84","7.84","7.84","7.84"
06/27/2008,"7.86","7.86","7.86","7.86"
06/26/2008,"7.84","7.84","7.84","7.84"
06/25/2008,"8.04","8.04","8.04","8.04"
06/24/2008,"7.97","7.97","7.97","7.97"
06/23/2008,"8.05","8.05","8.05","8.05"
06/20/2008,"8.02","8.02","8.02","8.02"
06/19/2008,"8.15","8.15","8.15","8.15"
06/18/2008,"8.09","8.09","8.09","8.09"
06/17/2008,"8.16","8.16","8.16","8.16"
06/16/2008,"8.12","8.12","8.12","8.12"
06/13/2008,"8.04","8.04","8.04","8.04"
06/12/2008,"7.88","7.88","7.88","7.88"
06/11/2008,"7.87","7.87","7.87","7.87"
06/10/2008,"7.99","7.99","7.99","7.99"
06/09/2008,"8.05","8.05","8.05","8.05"
06/06/2008,"8.06","8.06","8.06","8.06"
06/05/2008,"8.26","8.26","8.26","8.26"
06/04/2008,"8.06","8.06","8.06","8.06"
06/03/2008,"8.05","8.05","8.05","8.05"
06/02/2008,"8.09","8.09","8.09","8.09"
05/30/2008,"8.16","8.16","8.16","8.16"
05/29/2008,"8.11","8.11","8.11","8.11"
05/28/2008,"8.09","8.09","8.09","8.09"
05/27/2008,"8.03","8.03","8.03","8.03"
05/23/2008,"7.97","7.97","7.97","7.97"
05/22/2008,"8.04","8.04","8.04","8.04"
05/21/2008,"8.02","8.02","8.02","8.02"
05/20/2008,"8.21","8.21","8.21","8.21"
