Date,Open,High,Low,Close
12/31/2003,"5.01","5.01","5.01","5.01"
12/30/2003,"5.02","5.02","5.02","5.02"
12/29/2003,"5.02","5.02","5.02","5.02"
12/26/2003,"4.95","4.95","4.95","4.95"
12/24/2003,"4.94","4.94","4.94","4.94"
12/23/2003,"4.95","4.95","4.95","4.95"
12/22/2003,"4.91","4.91","4.91","4.91"
12/19/2003,"4.88","4.88","4.88","4.88"
12/18/2003,"4.88","4.88","4.88","4.88"
12/17/2003,"4.79","4.79","4.79","4.79"
12/16/2003,"4.79","4.79","4.79","4.79"
12/15/2003,"4.80","4.80","4.80","4.80"
12/12/2003,"4.86","4.86","4.86","4.86"
12/11/2003,"4.85","4.85","4.85","4.85"
12/10/2003,"4.74","4.74","4.74","4.74"
12/09/2003,"4.77","4.77","4.77","4.77"
12/08/2003,"4.85","4.85","4.85","4.85"
12/05/2003,"4.84","4.84","4.84","4.84"
12/04/2003,"4.91","4.91","4.91","4.91"
12/03/2003,"4.92","4.92","4.92","4.92"
12/02/2003,"4.98","4.98","4.98","4.98"
12/01/2003,"5.01","5.01","5.01","5.01"
11/28/2003,"4.94","4.94","4.94","4.94"
11/26/2003,"4.92","4.92","4.92","4.92"
11/25/2003,"4.89","4.89","4.89","4.89"
11/24/2003,"4.89","4.89","4.89","4.89"
11/21/2003,"4.76","4.76","4.76","4.76"
11/20/2003,"4.74","4.74","4.74","4.74"
11/19/2003,"4.77","4.77","4.77","4.77"
11/18/2003,"4.75","4.75","4.75","4.75"
11/17/2003,"4.80","4.80","4.80","4.80"
11/14/2003,"4.88","4.88","4.88","4.88"
11/13/2003,"4.97","4.97","4.97","4.97"
11/12/2003,"4.95","4.95","4.95","4.95"
11/11/2003,"4.84","4.84","4.84","4.84"
11/10/2003,"4.88","4.88","4.88","4.88"
11/07/2003,"4.97","4.97","4.97","4.97"
11/06/2003,"4.98","4.98","4.98","4.98"
11/05/2003,"4.96","4.96","4.96","4.96"
11/04/2003,"4.94","4.94","4.94","4.94"
11/03/2003,"4.97","4.97","4.97","4.97"
10/31/2003,"4.91","4.91","4.91","4.91"
10/30/2003,"4.92","4.92","4.92","4.92"
10/29/2003,"4.93","4.93","4.93","4.93"
10/28/2003,"4.90","4.90","4.90","4.90"
10/27/2003,"4.78","4.78","4.78","4.78"
10/24/2003,"4.75","4.75","4.75","4.75"
10/23/2003,"4.78","4.78","4.78","4.78"
10/22/2003,"4.81","4.81","4.81","4.81"
10/21/2003,"4.93","4.93","4.93","4.93"
10/20/2003,"4.88","4.88","4.88","4.88"
10/17/2003,"4.85","4.85","4.85","4.85"
10/16/2003,"4.93","4.93","4.93","4.93"
10/15/2003,"4.92","4.92","4.92","4.92"
10/14/2003,"4.95","4.95","4.95","4.95"
10/13/2003,"4.92","4.92","4.92","4.92"
10/10/2003,"4.89","4.89","4.89","4.89"
10/09/2003,"4.88","4.88","4.88","4.88"
10/08/2003,"4.82","4.82","4.82","4.82"
10/07/2003,"4.86","4.86","4.86","4.86"
10/06/2003,"4.82","4.82","4.82","4.82"
10/03/2003,"4.79","4.79","4.79","4.79"
10/02/2003,"4.70","4.70","4.70","4.70"
10/01/2003,"4.65","4.65","4.65","4.65"
09/30/2003,"4.57","4.57","4.57","4.57"
09/29/2003,"4.63","4.63","4.63","4.63"
09/26/2003,"4.57","4.57","4.57","4.57"
09/25/2003,"4.64","4.64","4.64","4.64"
09/24/2003,"4.68","4.68","4.68","4.68"
09/23/2003,"4.82","4.82","4.82","4.82"
09/22/2003,"4.77","4.77","4.77","4.77"
09/19/2003,"4.86","4.86","4.86","4.86"
09/18/2003,"4.86","4.86","4.86","4.86"
09/17/2003,"4.81","4.81","4.81","4.81"
09/16/2003,"4.80","4.80","4.80","4.80"
09/15/2003,"4.71","4.71","4.71","4.71"
09/12/2003,"4.73","4.73","4.73","4.73"
09/11/2003,"4.71","4.71","4.71","4.71"
09/10/2003,"4.67","4.67","4.67","4.67"
09/09/2003,"4.78","4.78","4.78","4.78"
09/08/2003,"4.82","4.82","4.82","4.82"
09/05/2003,"4.73","4.73","4.73","4.73"
09/04/2003,"4.73","4.73","4.73","4.73"
09/03/2003,"4.70","4.70","4.70","4.70"
09/02/2003,"4.68","4.68","4.68","4.68"
08/29/2003,"4.61","4.61","4.61","4.61"
08/28/2003,"4.58","4.58","4.58","4.58"
08/27/2003,"4.54","4.54","4.54","4.54"
08/26/2003,"4.51","4.51","4.51","4.51"
08/25/2003,"4.51","4.51","4.51","4.51"
08/22/2003,"4.52","4.52","4.52","4.52"
08/21/2003,"4.55","4.55","4.55","4.55"
08/20/2003,"4.50","4.50","4.50","4.50"
08/19/2003,"4.48","4.48","4.48","4.48"
08/18/2003,"4.44","4.44","4.44","4.44"
08/15/2003,"4.35","4.35","4.35","4.35"
08/14/2003,"4.35","4.35","4.35","4.35"
08/13/2003,"4.32","4.32","4.32","4.32"
08/12/2003,"4.33","4.33","4.33","4.33"
08/11/2003,"4.27","4.27","4.27","4.27"
08/08/2003,"4.22","4.22","4.22","4.22"
08/07/2003,"4.22","4.22","4.22","4.22"
08/06/2003,"4.21","4.21","4.21","4.21"
08/05/2003,"4.25","4.25","4.25","4.25"
08/04/2003,"4.34","4.34","4.34","4.34"
08/01/2003,"4.36","4.36","4.36","4.36"
07/31/2003,"4.40","4.40","4.40","4.40"
07/30/2003,"4.38","4.38","4.38","4.38"
07/29/2003,"4.42","4.42","4.42","4.42"
07/28/2003,"4.45","4.45","4.45","4.45"
07/25/2003,"4.43","4.43","4.43","4.43"
07/24/2003,"4.37","4.37","4.37","4.37"
