Date,Open,High,Low,Close
12/31/2018,"16.02","16.02","16.02","16.02"
12/28/2018,"15.88","15.88","15.88","15.88"
12/27/2018,"15.87","15.87","15.87","15.87"
12/26/2018,"15.80","15.80","15.80","15.80"
12/24/2018,"15.84","15.84","15.84","15.84"
12/21/2018,"16.12","16.12","16.12","16.12"
12/20/2018,"16.64","16.64","16.64","16.64"
12/19/2018,"16.99","16.99","16.99","16.99"
12/18/2018,"17.37","17.37","17.37","17.37"
12/17/2018,"17.27","17.27","17.27","17.27"
12/14/2018,"17.75","17.75","17.75","17.75"
12/13/2018,"18.12","18.12","18.12","18.12"
12/12/2018,"18.23","18.23","18.23","18.23"
12/11/2018,"18.00","18.00","18.00","18.00"
12/10/2018,"17.99","17.99","17.99","17.99"
12/07/2018,"17.85","17.85","17.85","17.85"
12/06/2018,"18.50","18.50","18.50","18.50"
12/04/2018,"18.38","18.38","18.38","18.38"
12/03/2018,"19.14","19.14","19.14","19.14"
11/30/2018,"18.79","18.79","18.79","18.79"
11/29/2018,"18.60","18.60","18.60","18.60"
11/28/2018,"18.64","18.64","18.64","18.64"
11/27/2018,"17.98","17.98","17.98","17.98"
11/26/2018,"18.03","18.03","18.03","18.03"
11/23/2018,"17.58","17.58","17.58","17.58"
11/21/2018,"17.67","17.67","17.67","17.67"
11/20/2018,"17.52","17.52","17.52","17.52"
11/19/2018,"17.75","17.75","17.75","17.75"
11/16/2018,"18.50","18.50","18.50","18.50"
11/15/2018,"18.74","18.74","18.74","18.74"
11/14/2018,"18.41","18.41","18.41","18.41"
11/13/2018,"18.56","18.56","18.56","18.56"
11/12/2018,"18.47","18.47","18.47","18.47"
11/09/2018,"19.11","19.11","19.11","19.11"
11/08/2018,"19.47","19.47","19.47","19.47"
11/07/2018,"19.65","19.65","19.65","19.65"
11/06/2018,"19.17","19.17","19.17","19.17"
11/05/2018,"19.09","19.09","19.09","19.09"
11/02/2018,"19.20","19.20","19.20","19.20"
11/01/2018,"19.35","19.35","19.35","19.35"
10/31/2018,"18.94","18.94","18.94","18.94"
10/30/2018,"18.48","18.48","18.48","18.48"
10/29/2018,"18.15","18.15","18.15","18.15"
10/26/2018,"18.49","18.49","18.49","18.49"
10/25/2018,"18.95","18.95","18.95","18.95"
10/24/2018,"18.35","18.35","18.35","18.35"
10/23/2018,"19.25","19.25","19.25","19.25"
10/22/2018,"19.37","19.37","19.37","19.37"
10/19/2018,"19.35","19.35","19.35","19.35"
10/18/2018,"19.54","19.54","19.54","19.54"
10/17/2018,"19.98","19.98","19.98","19.98"
10/16/2018,"20.07","20.07","20.07","20.07"
10/15/2018,"19.45","19.45","19.45","19.45"
10/12/2018,"19.69","19.69","19.69","19.69"
10/11/2018,"19.14","19.14","19.14","19.14"
10/10/2018,"19.40","19.40","19.40","19.40"
10/09/2018,"20.37","20.37","20.37","20.37"
10/08/2018,"20.41","20.41","20.41","20.41"
10/05/2018,"20.72","20.72","20.72","20.72"
10/04/2018,"20.95","20.95","20.95","20.95"
10/03/2018,"21.42","21.42","21.42","21.42"
10/02/2018,"21.37","21.37","21.37","21.37"
10/01/2018,"21.58","21.58","21.58","21.58"
09/28/2018,"21.55","21.55","21.55","21.55"
09/27/2018,"21.56","21.56","21.56","21.56"
09/26/2018,"21.42","21.42","21.42","21.42"
09/25/2018,"21.46","21.46","21.46","21.46"
09/24/2018,"21.31","21.31","21.31","21.31"
09/21/2018,"21.22","21.22","21.22","21.22"
09/20/2018,"21.35","21.35","21.35","21.35"
09/19/2018,"21.21","21.21","21.21","21.21"
09/18/2018,"21.24","21.24","21.24","21.24"
09/17/2018,"21.07","21.07","21.07","21.07"
09/14/2018,"21.40","21.40","21.40","21.40"
09/13/2018,"21.38","21.38","21.38","21.38"
09/12/2018,"21.28","21.28","21.28","21.28"
09/11/2018,"21.30","21.30","21.30","21.30"
09/10/2018,"21.16","21.16","21.16","21.16"
09/07/2018,"21.09","21.09","21.09","21.09"
09/06/2018,"21.12","21.12","21.12","21.12"
09/05/2018,"21.33","21.33","21.33","21.33"
09/04/2018,"21.67","21.67","21.67","21.67"
08/31/2018,"21.69","21.69","21.69","21.69"
08/30/2018,"21.63","21.63","21.63","21.63"
08/29/2018,"21.68","21.68","21.68","21.68"
08/28/2018,"21.48","21.48","21.48","21.48"
08/27/2018,"21.45","21.45","21.45","21.45"
08/24/2018,"21.18","21.18","21.18","21.18"
08/23/2018,"20.97","20.97","20.97","20.97"
08/22/2018,"20.94","20.94","20.94","20.94"
08/21/2018,"20.76","20.76","20.76","20.76"
08/20/2018,"20.62","20.62","20.62","20.62"
08/17/2018,"20.54","20.54","20.54","20.54"
08/16/2018,"20.62","20.62","20.62","20.62"
08/15/2018,"20.52","20.52","20.52","20.52"
08/14/2018,"20.83","20.83","20.83","20.83"
08/13/2018,"20.68","20.68","20.68","20.68"
08/10/2018,"20.75","20.75","20.75","20.75"
08/09/2018,"20.84","20.84","20.84","20.84"
08/08/2018,"20.77","20.77","20.77","20.77"
08/07/2018,"20.78","20.78","20.78","20.78"
08/06/2018,"20.65","20.65","20.65","20.65"
08/03/2018,"20.49","20.49","20.49","20.49"
08/02/2018,"20.55","20.55","20.55","20.55"
08/01/2018,"20.24","20.24","20.24","20.24"
07/31/2018,"20.17","20.17","20.17","20.17"
07/30/2018,"20.10","20.10","20.10","20.10"
07/27/2018,"20.50","20.50","20.50","20.50"
07/26/2018,"20.83","20.83","20.83","20.83"
07/25/2018,"21.05","21.05","21.05","21.05"
07/24/2018,"20.76","20.76","20.76","20.76"
07/23/2018,"20.82","20.82","20.82","20.82"
07/20/2018,"20.82","20.82","20.82","20.82"
07/19/2018,"20.86","20.86","20.86","20.86"
07/18/2018,"20.93","20.93","20.93","20.93"
07/17/2018,"20.92","20.92","20.92","20.92"
07/16/2018,"20.73","20.73","20.73","20.73"
07/13/2018,"20.81","20.81","20.81","20.81"
07/12/2018,"20.81","20.81","20.81","20.81"
07/11/2018,"20.48","20.48","20.48","20.48"
07/10/2018,"20.56","20.56","20.56","20.56"
07/09/2018,"20.51","20.51","20.51","20.51"
07/06/2018,"20.35","20.35","20.35","20.35"
07/05/2018,"20.06","20.06","20.06","20.06"
07/03/2018,"19.87","19.87","19.87","19.87"
07/02/2018,"20.03","20.03","20.03","20.03"
06/29/2018,"19.88","19.88","19.88","19.88"
06/28/2018,"19.87","19.87","19.87","19.87"
06/27/2018,"19.69","19.69","19.69","19.69"
06/26/2018,"20.04","20.04","20.04","20.04"
06/25/2018,"19.90","19.90","19.90","19.90"
06/22/2018,"20.41","20.41","20.41","20.41"
06/21/2018,"20.57","20.57","20.57","20.57"
06/20/2018,"20.81","20.81","20.81","20.81"
06/19/2018,"20.69","20.69","20.69","20.69"
06/18/2018,"20.83","20.83","20.83","20.83"
06/15/2018,"20.79","20.79","20.79","20.79"
06/14/2018,"20.83","20.83","20.83","20.83"
06/13/2018,"20.65","20.65","20.65","20.65"
06/12/2018,"20.68","20.68","20.68","20.68"
06/11/2018,"20.47","20.47","20.47","20.47"
06/08/2018,"20.45","20.45","20.45","20.45"
06/07/2018,"20.38","20.38","20.38","20.38"
06/06/2018,"20.59","20.59","20.59","20.59"
06/05/2018,"20.41","20.41","20.41","20.41"
06/04/2018,"20.32","20.32","20.32","20.32"
06/01/2018,"20.20","20.20","20.20","20.20"
05/31/2018,"19.85","19.85","19.85","19.85"
05/30/2018,"19.90","19.90","19.90","19.90"
05/29/2018,"19.66","19.66","19.66","19.66"
05/25/2018,"19.78","19.78","19.78","19.78"
05/24/2018,"19.76","19.76","19.76","19.76"
05/23/2018,"19.75","19.75","19.75","19.75"
05/22/2018,"19.62","19.62","19.62","19.62"
05/21/2018,"19.71","19.71","19.71","19.71"
05/18/2018,"19.66","19.66","19.66","19.66"
05/17/2018,"19.66","19.66","19.66","19.66"
05/16/2018,"19.66","19.66","19.66","19.66"
05/15/2018,"19.55","19.55","19.55","19.55"
05/14/2018,"19.74","19.74","19.74","19.74"
05/11/2018,"19.75","19.75","19.75","19.75"
05/10/2018,"19.70","19.70","19.70","19.70"
05/09/2018,"19.58","19.58","19.58","19.58"
05/08/2018,"19.38","19.38","19.38","19.38"
05/07/2018,"19.37","19.37","19.37","19.37"
05/04/2018,"19.14","19.14","19.14","19.14"
05/03/2018,"18.89","18.89","18.89","18.89"
05/02/2018,"18.90","18.90","18.90","18.90"
05/01/2018,"18.93","18.93","18.93","18.93"
04/30/2018,"18.81","18.81","18.81","18.81"
04/27/2018,"18.91","18.91","18.91","18.91"
04/26/2018,"18.85","18.85","18.85","18.85"
04/25/2018,"18.48","18.48","18.48","18.48"
04/24/2018,"18.55","18.55","18.55","18.55"
04/23/2018,"18.94","18.94","18.94","18.94"
04/20/2018,"19.05","19.05","19.05","19.05"
04/19/2018,"19.28","19.28","19.28","19.28"
04/18/2018,"19.43","19.43","19.43","19.43"
04/17/2018,"19.40","19.40","19.40","19.40"
04/16/2018,"19.01","19.01","19.01","19.01"
04/13/2018,"18.96","18.96","18.96","18.96"
04/12/2018,"19.08","19.08","19.08","19.08"
04/11/2018,"18.85","18.85","18.85","18.85"
04/10/2018,"18.91","18.91","18.91","18.91"
04/09/2018,"18.47","18.47","18.47","18.47"
04/06/2018,"18.29","18.29","18.29","18.29"
04/05/2018,"18.73","18.73","18.73","18.73"
04/04/2018,"18.65","18.65","18.65","18.65"
04/03/2018,"18.36","18.36","18.36","18.36"
04/02/2018,"18.19","18.19","18.19","18.19"
03/29/2018,"18.80","18.80","18.80","18.80"
03/28/2018,"18.50","18.50","18.50","18.50"
03/27/2018,"18.65","18.65","18.65","18.65"
03/26/2018,"19.31","19.31","19.31","19.31"
03/23/2018,"18.77","18.77","18.77","18.77"
03/22/2018,"19.20","19.20","19.20","19.20"
03/21/2018,"19.70","19.70","19.70","19.70"
03/20/2018,"19.73","19.73","19.73","19.73"
03/19/2018,"19.59","19.59","19.59","19.59"
03/16/2018,"19.93","19.93","19.93","19.93"
03/15/2018,"19.96","19.96","19.96","19.96"
03/14/2018,"19.97","19.97","19.97","19.97"
03/13/2018,"19.92","19.92","19.92","19.92"
03/12/2018,"20.10","20.10","20.10","20.10"
03/09/2018,"20.02","20.02","20.02","20.02"
03/08/2018,"19.71","19.71","19.71","19.71"
03/07/2018,"19.63","19.63","19.63","19.63"
03/06/2018,"19.53","19.53","19.53","19.53"
03/05/2018,"19.42","19.42","19.42","19.42"
03/02/2018,"19.22","19.22","19.22","19.22"
03/01/2018,"19.00","19.00","19.00","19.00"
02/28/2018,"19.28","19.28","19.28","19.28"
02/27/2018,"19.47","19.47","19.47","19.47"
02/26/2018,"19.71","19.71","19.71","19.71"
02/23/2018,"19.51","19.51","19.51","19.51"
02/22/2018,"19.20","19.20","19.20","19.20"
02/21/2018,"19.24","19.24","19.24","19.24"
02/20/2018,"19.32","19.32","19.32","19.32"
02/16/2018,"19.31","19.31","19.31","19.31"
02/15/2018,"19.34","19.34","19.34","19.34"
02/14/2018,"19.04","19.04","19.04","19.04"
02/13/2018,"18.61","18.61","18.61","18.61"
02/12/2018,"18.53","18.53","18.53","18.53"
02/09/2018,"18.27","18.27","18.27","18.27"
02/08/2018,"17.99","17.99","17.99","17.99"
02/07/2018,"18.77","18.77","18.77","18.77"
02/06/2018,"18.81","18.81","18.81","18.81"
02/05/2018,"18.38","18.38","18.38","18.38"
02/02/2018,"19.17","19.17","19.17","19.17"
02/01/2018,"19.54","19.54","19.54","19.54"
01/31/2018,"19.66","19.66","19.66","19.66"
01/30/2018,"19.59","19.59","19.59","19.59"
01/29/2018,"19.78","19.78","19.78","19.78"
01/26/2018,"19.81","19.81","19.81","19.81"
01/25/2018,"19.57","19.57","19.57","19.57"
01/24/2018,"19.54","19.54","19.54","19.54"
01/23/2018,"19.63","19.63","19.63","19.63"
01/22/2018,"19.41","19.41","19.41","19.41"
01/19/2018,"19.13","19.13","19.13","19.13"
01/18/2018,"18.96","18.96","18.96","18.96"
01/17/2018,"18.93","18.93","18.93","18.93"
01/16/2018,"18.74","18.74","18.74","18.74"
01/12/2018,"18.93","18.93","18.93","18.93"
01/11/2018,"18.81","18.81","18.81","18.81"
01/10/2018,"18.68","18.68","18.68","18.68"
01/09/2018,"18.65","18.65","18.65","18.65"
01/08/2018,"18.60","18.60","18.60","18.60"
01/05/2018,"18.54","18.54","18.54","18.54"
01/04/2018,"18.40","18.40","18.40","18.40"
01/03/2018,"18.37","18.37","18.37","18.37"
01/02/2018,"18.15","18.15","18.15","18.15"
