Date,Open,High,Low,Close
12/31/2012,"9.34","9.34","9.34","9.34"
12/28/2012,"9.14","9.14","9.14","9.14"
12/27/2012,"9.23","9.23","9.23","9.23"
12/26/2012,"9.24","9.24","9.24","9.24"
12/24/2012,"9.32","9.32","9.32","9.32"
12/21/2012,"9.34","9.34","9.34","9.34"
12/20/2012,"9.43","9.43","9.43","9.43"
12/19/2012,"9.43","9.43","9.43","9.43"
12/18/2012,"9.50","9.50","9.50","9.50"
12/17/2012,"9.37","9.37","9.37","9.37"
12/14/2012,"9.27","9.27","9.27","9.27"
12/13/2012,"9.56","9.56","9.56","9.56"
12/12/2012,"9.63","9.63","9.63","9.63"
12/11/2012,"9.64","9.64","9.64","9.64"
12/10/2012,"9.52","9.52","9.52","9.52"
12/07/2012,"9.50","9.50","9.50","9.50"
12/06/2012,"9.50","9.50","9.50","9.50"
12/05/2012,"9.46","9.46","9.46","9.46"
12/04/2012,"9.52","9.52","9.52","9.52"
12/03/2012,"9.54","9.54","9.54","9.54"
11/30/2012,"9.58","9.58","9.58","9.58"
11/29/2012,"9.61","9.61","9.61","9.61"
11/28/2012,"9.54","9.54","9.54","9.54"
11/27/2012,"9.47","9.47","9.47","9.47"
11/26/2012,"9.51","9.51","9.51","9.51"
11/23/2012,"9.50","9.50","9.50","9.50"
11/21/2012,"9.39","9.39","9.39","9.39"
11/20/2012,"9.33","9.33","9.33","9.33"
11/19/2012,"9.28","9.28","9.28","9.28"
11/16/2012,"9.05","9.05","9.05","9.05"
11/15/2012,"8.95","8.95","8.95","8.95"
11/14/2012,"8.99","8.99","8.99","8.99"
11/13/2012,"9.15","9.15","9.15","9.15"
11/12/2012,"9.17","9.17","9.17","9.17"
11/09/2012,"9.16","9.16","9.16","9.16"
11/08/2012,"9.13","9.13","9.13","9.13"
11/07/2012,"9.28","9.28","9.28","9.28"
11/06/2012,"9.49","9.49","9.49","9.49"
11/05/2012,"9.44","9.44","9.44","9.44"
11/02/2012,"9.38","9.38","9.38","9.38"
11/01/2012,"9.50","9.50","9.50","9.50"
10/31/2012,"9.34","9.34","9.34","9.34"
10/26/2012,"9.39","9.39","9.39","9.39"
10/25/2012,"9.41","9.41","9.41","9.41"
10/24/2012,"9.45","9.45","9.45","9.45"
10/23/2012,"9.46","9.46","9.46","9.46"
10/22/2012,"9.57","9.57","9.57","9.57"
10/19/2012,"9.56","9.56","9.56","9.56"
10/18/2012,"9.77","9.77","9.77","9.77"
10/17/2012,"9.89","9.89","9.89","9.89"
