Date,Open,High,Low,Close
12/31/2020,"32.87","32.87","32.87","32.87"
12/30/2020,"33.01","33.01","33.01","33.01"
12/29/2020,"32.89","32.89","32.89","32.89"
12/28/2020,"36.02","36.02","36.02","36.02"
12/24/2020,"36.06","36.06","36.06","36.06"
12/23/2020,"36.06","36.06","36.06","36.06"
12/22/2020,"36.32","36.32","36.32","36.32"
12/21/2020,"36.06","36.06","36.06","36.06"
12/18/2020,"35.99","35.99","35.99","35.99"
12/17/2020,"35.98","35.98","35.98","35.98"
12/16/2020,"35.46","35.46","35.46","35.46"
12/15/2020,"35.28","35.28","35.28","35.28"
12/14/2020,"34.92","34.92","34.92","34.92"
12/11/2020,"34.75","34.75","34.75","34.75"
12/10/2020,"34.92","34.92","34.92","34.92"
12/09/2020,"34.58","34.58","34.58","34.58"
12/08/2020,"35.35","35.35","35.35","35.35"
12/07/2020,"35.13","35.13","35.13","35.13"
12/04/2020,"34.91","34.91","34.91","34.91"
12/03/2020,"34.64","34.64","34.64","34.64"
12/02/2020,"34.46","34.46","34.46","34.46"
12/01/2020,"34.58","34.58","34.58","34.58"
11/30/2020,"34.47","34.47","34.47","34.47"
11/27/2020,"34.27","34.27","34.27","34.27"
11/25/2020,"33.76","33.76","33.76","33.76"
11/24/2020,"33.42","33.42","33.42","33.42"
11/23/2020,"33.31","33.31","33.31","33.31"
11/20/2020,"33.11","33.11","33.11","33.11"
11/19/2020,"33.14","33.14","33.14","33.14"
11/18/2020,"32.75","32.75","32.75","32.75"
11/17/2020,"32.98","32.98","32.98","32.98"
11/16/2020,"32.93","32.93","32.93","32.93"
11/13/2020,"32.65","32.65","32.65","32.65"
11/12/2020,"32.52","32.52","32.52","32.52"
11/11/2020,"32.65","32.65","32.65","32.65"
11/10/2020,"31.84","31.84","31.84","31.84"
11/09/2020,"32.45","32.45","32.45","32.45"
11/06/2020,"33.38","33.38","33.38","33.38"
11/05/2020,"33.18","33.18","33.18","33.18"
11/04/2020,"32.32","32.32","32.32","32.32"
11/03/2020,"31.00","31.00","31.00","31.00"
11/02/2020,"30.35","30.35","30.35","30.35"
10/30/2020,"30.27","30.27","30.27","30.27"
10/29/2020,"31.13","31.13","31.13","31.13"
10/28/2020,"30.78","30.78","30.78","30.78"
10/27/2020,"31.95","31.95","31.95","31.95"
10/26/2020,"31.63","31.63","31.63","31.63"
10/23/2020,"32.15","32.15","32.15","32.15"
10/22/2020,"31.90","31.90","31.90","31.90"
10/21/2020,"31.89","31.89","31.89","31.89"
10/20/2020,"32.20","32.20","32.20","32.20"
10/19/2020,"32.18","32.18","32.18","32.18"
10/16/2020,"32.73","32.73","32.73","32.73"
10/15/2020,"32.82","32.82","32.82","32.82"
10/14/2020,"32.98","32.98","32.98","32.98"
10/13/2020,"33.31","33.31","33.31","33.31"
10/12/2020,"33.13","33.13","33.13","33.13"
10/09/2020,"32.53","32.53","32.53","32.53"
10/08/2020,"32.11","32.11","32.11","32.11"
10/07/2020,"31.99","31.99","31.99","31.99"
10/06/2020,"31.31","31.31","31.31","31.31"
10/05/2020,"31.77","31.77","31.77","31.77"
10/02/2020,"30.93","30.93","30.93","30.93"
10/01/2020,"31.65","31.65","31.65","31.65"
09/30/2020,"31.16","31.16","31.16","31.16"
09/29/2020,"30.90","30.90","30.90","30.90"
09/28/2020,"30.80","30.80","30.80","30.80"
09/25/2020,"30.33","30.33","30.33","30.33"
09/24/2020,"29.59","29.59","29.59","29.59"
09/23/2020,"29.59","29.59","29.59","29.59"
09/22/2020,"30.47","30.47","30.47","30.47"
09/21/2020,"29.96","29.96","29.96","29.96"
09/18/2020,"29.88","29.88","29.88","29.88"
09/17/2020,"30.02","30.02","30.02","30.02"
09/16/2020,"30.36","30.36","30.36","30.36"
09/15/2020,"30.73","30.73","30.73","30.73"
09/14/2020,"30.35","30.35","30.35","30.35"
09/11/2020,"29.62","29.62","29.62","29.62"
09/10/2020,"29.81","29.81","29.81","29.81"
09/09/2020,"30.27","30.27","30.27","30.27"
09/08/2020,"29.46","29.46","29.46","29.46"
09/04/2020,"30.65","30.65","30.65","30.65"
09/03/2020,"31.26","31.26","31.26","31.26"
09/02/2020,"33.00","33.00","33.00","33.00"
09/01/2020,"32.82","32.82","32.82","32.82"
08/31/2020,"32.23","32.23","32.23","32.23"
08/28/2020,"31.98","31.98","31.98","31.98"
08/27/2020,"31.74","31.74","31.74","31.74"
08/26/2020,"31.99","31.99","31.99","31.99"
08/25/2020,"31.25","31.25","31.25","31.25"
08/24/2020,"30.93","30.93","30.93","30.93"
08/21/2020,"30.85","30.85","30.85","30.85"
08/20/2020,"30.65","30.65","30.65","30.65"
08/19/2020,"30.32","30.32","30.32","30.32"
08/18/2020,"30.34","30.34","30.34","30.34"
08/17/2020,"30.08","30.08","30.08","30.08"
08/14/2020,"29.56","29.56","29.56","29.56"
08/13/2020,"29.65","29.65","29.65","29.65"
08/12/2020,"29.44","29.44","29.44","29.44"
08/11/2020,"28.85","28.85","28.85","28.85"
08/10/2020,"29.38","29.38","29.38","29.38"
08/07/2020,"29.62","29.62","29.62","29.62"
08/06/2020,"29.94","29.94","29.94","29.94"
08/05/2020,"29.69","29.69","29.69","29.69"
08/04/2020,"29.41","29.41","29.41","29.41"
08/03/2020,"29.26","29.26","29.26","29.26"
07/31/2020,"28.62","28.62","28.62","28.62"
07/30/2020,"28.43","28.43","28.43","28.43"
07/29/2020,"28.32","28.32","28.32","28.32"
07/28/2020,"27.84","27.84","27.84","27.84"
07/27/2020,"28.21","28.21","28.21","28.21"
07/24/2020,"27.61","27.61","27.61","27.61"
07/23/2020,"27.74","27.74","27.74","27.74"
07/22/2020,"28.46","28.46","28.46","28.46"
07/21/2020,"28.33","28.33","28.33","28.33"
07/20/2020,"28.71","28.71","28.71","28.71"
07/17/2020,"27.98","27.98","27.98","27.98"
07/16/2020,"27.73","27.73","27.73","27.73"
07/15/2020,"28.00","28.00","28.00","28.00"
07/14/2020,"27.85","27.85","27.85","27.85"
07/13/2020,"27.45","27.45","27.45","27.45"
07/10/2020,"28.18","28.18","28.18","28.18"
07/09/2020,"28.11","28.11","28.11","28.11"
07/08/2020,"27.84","27.84","27.84","27.84"
07/07/2020,"27.39","27.39","27.39","27.39"
07/06/2020,"27.48","27.48","27.48","27.48"
07/02/2020,"26.96","26.96","26.96","26.96"
07/01/2020,"26.83","26.83","26.83","26.83"
06/30/2020,"26.47","26.47","26.47","26.47"
06/29/2020,"25.94","25.94","25.94","25.94"
06/26/2020,"25.72","25.72","25.72","25.72"
06/25/2020,"26.38","26.38","26.38","26.38"
06/24/2020,"26.07","26.07","26.07","26.07"
06/23/2020,"26.63","26.63","26.63","26.63"
06/22/2020,"26.51","26.51","26.51","26.51"
06/19/2020,"26.11","26.11","26.11","26.11"
06/18/2020,"26.03","26.03","26.03","26.03"
06/17/2020,"25.82","25.82","25.82","25.82"
06/16/2020,"25.69","25.69","25.69","25.69"
06/15/2020,"25.35","25.35","25.35","25.35"
06/12/2020,"24.80","24.80","24.80","24.80"
06/11/2020,"24.53","24.53","24.53","24.53"
06/10/2020,"25.80","25.80","25.80","25.80"
06/09/2020,"25.52","25.52","25.52","25.52"
06/08/2020,"25.38","25.38","25.38","25.38"
06/05/2020,"25.10","25.10","25.10","25.10"
06/04/2020,"24.74","24.74","24.74","24.74"
06/03/2020,"25.04","25.04","25.04","25.04"
06/02/2020,"24.97","24.97","24.97","24.97"
06/01/2020,"24.72","24.72","24.72","24.72"
05/29/2020,"24.56","24.56","24.56","24.56"
05/28/2020,"24.10","24.10","24.10","24.10"
05/27/2020,"24.13","24.13","24.13","24.13"
05/26/2020,"24.16","24.16","24.16","24.16"
05/22/2020,"24.38","24.38","24.38","24.38"
05/21/2020,"24.16","24.16","24.16","24.16"
05/20/2020,"24.32","24.32","24.32","24.32"
05/19/2020,"23.84","23.84","23.84","23.84"
05/18/2020,"23.97","23.97","23.97","23.97"
05/15/2020,"23.46","23.46","23.46","23.46"
05/14/2020,"23.09","23.09","23.09","23.09"
05/13/2020,"22.95","22.95","22.95","22.95"
05/12/2020,"23.33","23.33","23.33","23.33"
05/11/2020,"23.80","23.80","23.80","23.80"
05/08/2020,"23.36","23.36","23.36","23.36"
05/07/2020,"23.00","23.00","23.00","23.00"
05/06/2020,"22.61","22.61","22.61","22.61"
05/05/2020,"22.37","22.37","22.37","22.37"
05/04/2020,"21.99","21.99","21.99","21.99"
05/01/2020,"21.57","21.57","21.57","21.57"
04/30/2020,"22.29","22.29","22.29","22.29"
04/29/2020,"22.47","22.47","22.47","22.47"
04/28/2020,"21.79","21.79","21.79","21.79"
04/27/2020,"22.14","22.14","22.14","22.14"
04/24/2020,"21.90","21.90","21.90","21.90"
04/23/2020,"21.48","21.48","21.48","21.48"
04/22/2020,"21.49","21.49","21.49","21.49"
04/21/2020,"20.82","20.82","20.82","20.82"
04/20/2020,"21.65","21.65","21.65","21.65"
04/17/2020,"21.65","21.65","21.65","21.65"
04/16/2020,"21.13","21.13","21.13","21.13"
04/15/2020,"20.70","20.70","20.70","20.70"
04/14/2020,"20.93","20.93","20.93","20.93"
04/13/2020,"20.08","20.08","20.08","20.08"
04/09/2020,"19.89","19.89","19.89","19.89"
04/08/2020,"19.71","19.71","19.71","19.71"
04/07/2020,"19.13","19.13","19.13","19.13"
04/06/2020,"17.96","17.96","17.96","17.96"
04/03/2020,"17.96","17.96","17.96","17.96"
04/02/2020,"18.22","18.22","18.22","18.22"
04/01/2020,"17.93","17.93","17.93","17.93"
03/31/2020,"18.83","18.83","18.83","18.83"
03/30/2020,"19.06","19.06","19.06","19.06"
03/27/2020,"18.48","18.48","18.48","18.48"
03/26/2020,"19.16","19.16","19.16","19.16"
03/25/2020,"18.28","18.28","18.28","18.28"
03/24/2020,"18.25","18.25","18.25","18.25"
03/23/2020,"16.78","16.78","16.78","16.78"
03/20/2020,"16.73","16.73","16.73","16.73"
03/19/2020,"17.17","17.17","17.17","17.17"
03/18/2020,"16.80","16.80","16.80","16.80"
03/17/2020,"17.46","17.46","17.46","17.46"
03/16/2020,"16.47","16.47","16.47","16.47"
03/13/2020,"18.82","18.82","18.82","18.82"
03/12/2020,"17.43","17.43","17.43","17.43"
