Date,Open,High,Low,Close
12/29/2000,"7.14","7.14","7.14","7.14"
12/28/2000,"7.30","7.30","7.30","7.30"
12/27/2000,"7.22","7.22","7.22","7.22"
12/26/2000,"7.08","7.08","7.08","7.08"
12/22/2000,"7.04","7.04","7.04","7.04"
12/21/2000,"7.32","7.32","7.32","7.32"
12/20/2000,"7.30","7.30","7.30","7.30"
12/19/2000,"7.67","7.67","7.67","7.67"
12/18/2000,"7.83","7.83","7.83","7.83"
12/15/2000,"7.78","7.78","7.78","7.78"
12/14/2000,"7.91","7.91","7.91","7.91"
12/13/2000,"8.05","8.05","8.05","8.05"
12/12/2000,"8.27","8.27","8.27","8.27"
12/11/2000,"8.42","8.42","8.42","8.42"
12/08/2000,"8.29","8.29","8.29","8.29"
12/07/2000,"7.93","7.93","7.93","7.93"
12/06/2000,"8.00","8.00","8.00","8.00"
12/05/2000,"8.13","8.13","8.13","8.13"
12/04/2000,"7.63","7.63","7.63","7.63"
12/01/2000,"7.64","7.64","7.64","7.64"
11/30/2000,"7.48","7.48","7.48","7.48"
11/29/2000,"7.59","7.59","7.59","7.59"
11/28/2000,"7.64","7.64","7.64","7.64"
11/27/2000,"7.90","7.90","7.90","7.90"
11/24/2000,"7.86","7.86","7.86","7.86"
11/22/2000,"7.60","7.60","7.60","7.60"
11/21/2000,"7.82","7.82","7.82","7.82"
11/20/2000,"7.85","7.85","7.85","7.85"
11/17/2000,"8.13","8.13","8.13","8.13"
11/16/2000,"8.23","8.23","8.23","8.23"
11/15/2000,"8.47","8.47","8.47","8.47"
11/14/2000,"8.43","8.43","8.43","8.43"
11/13/2000,"8.11","8.11","8.11","8.11"
11/10/2000,"8.38","8.38","8.38","8.38"
11/09/2000,"8.69","8.69","8.69","8.69"
11/08/2000,"8.81","8.81","8.81","8.81"
11/07/2000,"9.08","9.08","9.08","9.08"
11/06/2000,"9.01","9.01","9.01","9.01"
11/03/2000,"9.03","9.03","9.03","9.03"
11/02/2000,"9.01","9.01","9.01","9.01"
11/01/2000,"8.88","8.88","8.88","8.88"
10/31/2000,"8.87","8.87","8.87","8.87"
10/30/2000,"8.48","8.48","8.48","8.48"
10/27/2000,"8.62","8.62","8.62","8.62"
10/26/2000,"8.58","8.58","8.58","8.58"
10/25/2000,"8.59","8.59","8.59","8.59"
10/24/2000,"8.92","8.92","8.92","8.92"
10/23/2000,"9.05","9.05","9.05","9.05"
10/20/2000,"9.07","9.07","9.07","9.07"
10/19/2000,"9.00","9.00","9.00","9.00"
10/18/2000,"8.72","8.72","8.72","8.72"
10/17/2000,"8.79","8.79","8.79","8.79"
10/16/2000,"8.88","8.88","8.88","8.88"
