Date,Open,High,Low,Close
12/31/2001,"5.32","5.32","5.32","5.32"
12/28/2001,"5.43","5.43","5.43","5.43"
12/27/2001,"5.39","5.39","5.39","5.39"
12/26/2001,"5.35","5.35","5.35","5.35"
12/24/2001,"5.32","5.32","5.32","5.32"
12/21/2001,"5.32","5.32","5.32","5.32"
12/20/2001,"5.24","5.24","5.24","5.24"
12/19/2001,"5.37","5.37","5.37","5.37"
12/18/2001,"5.41","5.41","5.41","5.41"
12/17/2001,"5.35","5.35","5.35","5.35"
12/14/2001,"5.27","5.27","5.27","5.27"
12/13/2001,"5.25","5.25","5.25","5.25"
12/12/2001,"5.34","5.34","5.34","5.34"
12/11/2001,"5.34","5.34","5.34","5.34"
12/10/2001,"5.33","5.33","5.33","5.33"
12/07/2001,"5.42","5.42","5.42","5.42"
12/06/2001,"5.52","5.52","5.52","5.52"
12/05/2001,"5.53","5.53","5.53","5.53"
12/04/2001,"5.33","5.33","5.33","5.33"
12/03/2001,"5.22","5.22","5.22","5.22"
11/30/2001,"5.29","5.29","5.29","5.29"
11/29/2001,"5.30","5.30","5.30","5.30"
11/28/2001,"5.22","5.22","5.22","5.22"
11/27/2001,"5.36","5.36","5.36","5.36"
11/26/2001,"5.37","5.37","5.37","5.37"
11/23/2001,"5.29","5.29","5.29","5.29"
11/21/2001,"5.21","5.21","5.21","5.21"
11/20/2001,"5.23","5.23","5.23","5.23"
11/19/2001,"5.33","5.33","5.33","5.33"
11/16/2001,"5.22","5.22","5.22","5.22"
11/15/2001,"5.24","5.24","5.24","5.24"
11/14/2001,"5.22","5.22","5.22","5.22"
11/13/2001,"5.23","5.23","5.23","5.23"
11/12/2001,"5.08","5.08","5.08","5.08"
11/09/2001,"5.06","5.06","5.06","5.06"
11/08/2001,"5.06","5.06","5.06","5.06"
11/07/2001,"5.10","5.10","5.10","5.10"
11/06/2001,"5.10","5.10","5.10","5.10"
11/05/2001,"5.01","5.01","5.01","5.01"
11/02/2001,"4.90","4.90","4.90","4.90"
11/01/2001,"4.89","4.89","4.89","4.89"
10/31/2001,"4.76","4.76","4.76","4.76"
10/30/2001,"4.70","4.70","4.70","4.70"
10/29/2001,"4.82","4.82","4.82","4.82"
10/26/2001,"5.00","5.00","5.00","5.00"
10/25/2001,"4.98","4.98","4.98","4.98"
10/24/2001,"4.87","4.87","4.87","4.87"
10/23/2001,"4.81","4.81","4.81","4.81"
10/22/2001,"4.84","4.84","4.84","4.84"
10/19/2001,"4.72","4.72","4.72","4.72"
10/18/2001,"4.64","4.64","4.64","4.64"
10/17/2001,"4.67","4.67","4.67","4.67"
10/16/2001,"4.85","4.85","4.85","4.85"
10/15/2001,"4.78","4.78","4.78","4.78"
10/12/2001,"4.80","4.80","4.80","4.80"
10/11/2001,"4.82","4.82","4.82","4.82"
10/10/2001,"4.66","4.66","4.66","4.66"
10/09/2001,"4.51","4.51","4.51","4.51"
10/08/2001,"4.58","4.58","4.58","4.58"
10/05/2001,"4.59","4.59","4.59","4.59"
10/04/2001,"4.57","4.57","4.57","4.57"
10/03/2001,"4.57","4.57","4.57","4.57"
10/02/2001,"4.40","4.40","4.40","4.40"
10/01/2001,"4.32","4.32","4.32","4.32"
09/28/2001,"4.34","4.34","4.34","4.34"
09/27/2001,"4.25","4.25","4.25","4.25"
09/26/2001,"4.21","4.21","4.21","4.21"
09/25/2001,"4.30","4.30","4.30","4.30"
09/24/2001,"4.28","4.28","4.28","4.28"
09/21/2001,"4.11","4.11","4.11","4.11"
09/20/2001,"4.22","4.22","4.22","4.22"
09/19/2001,"4.37","4.37","4.37","4.37"
09/18/2001,"4.44","4.44","4.44","4.44"
09/17/2001,"4.56","4.56","4.56","4.56"
09/10/2001,"4.93","4.93","4.93","4.93"
09/07/2001,"4.93","4.93","4.93","4.93"
09/06/2001,"5.01","5.01","5.01","5.01"
09/05/2001,"5.16","5.16","5.16","5.16"
09/04/2001,"5.19","5.19","5.19","5.19"
08/31/2001,"5.24","5.24","5.24","5.24"
08/30/2001,"5.20","5.20","5.20","5.20"
08/29/2001,"5.32","5.32","5.32","5.32"
08/28/2001,"5.38","5.38","5.38","5.38"
08/27/2001,"5.50","5.50","5.50","5.50"
08/24/2001,"5.49","5.49","5.49","5.49"
08/23/2001,"5.31","5.31","5.31","5.31"
08/22/2001,"5.31","5.31","5.31","5.31"
08/21/2001,"5.23","5.23","5.23","5.23"
08/20/2001,"5.32","5.32","5.32","5.32"
08/17/2001,"5.30","5.30","5.30","5.30"
08/16/2001,"5.43","5.43","5.43","5.43"
08/15/2001,"5.42","5.42","5.42","5.42"
08/14/2001,"5.50","5.50","5.50","5.50"
08/13/2001,"5.53","5.53","5.53","5.53"
08/10/2001,"5.48","5.48","5.48","5.48"
08/09/2001,"5.48","5.48","5.48","5.48"
08/08/2001,"5.50","5.50","5.50","5.50"
08/07/2001,"5.65","5.65","5.65","5.65"
08/06/2001,"5.66","5.66","5.66","5.66"
08/03/2001,"5.73","5.73","5.73","5.73"
08/02/2001,"5.78","5.78","5.78","5.78"
08/01/2001,"5.74","5.74","5.74","5.74"
07/31/2001,"5.67","5.67","5.67","5.67"
07/30/2001,"5.63","5.63","5.63","5.63"
07/27/2001,"5.64","5.64","5.64","5.64"
07/26/2001,"5.60","5.60","5.60","5.60"
07/25/2001,"5.48","5.48","5.48","5.48"
07/24/2001,"5.38","5.38","5.38","5.38"
07/23/2001,"5.48","5.48","5.48","5.48"
07/20/2001,"5.59","5.59","5.59","5.59"
07/19/2001,"5.61","5.61","5.61","5.61"
07/18/2001,"5.54","5.54","5.54","5.54"
07/17/2001,"5.63","5.63","5.63","5.63"
07/16/2001,"5.54","5.54","5.54","5.54"
07/13/2001,"5.67","5.67","5.67","5.67"
07/12/2001,"5.63","5.63","5.63","5.63"
07/11/2001,"5.41","5.41","5.41","5.41"
07/10/2001,"5.39","5.39","5.39","5.39"
07/09/2001,"5.56","5.56","5.56","5.56"
07/06/2001,"5.51","5.51","5.51","5.51"
07/05/2001,"5.71","5.71","5.71","5.71"
07/02/2001,"5.86","5.86","5.86","5.86"
06/29/2001,"5.87","5.87","5.87","5.87"
06/28/2001,"5.81","5.81","5.81","5.81"
06/27/2001,"5.69","5.69","5.69","5.69"
06/26/2001,"5.69","5.69","5.69","5.69"
06/25/2001,"5.68","5.68","5.68","5.68"
06/22/2001,"5.70","5.70","5.70","5.70"
06/21/2001,"5.79","5.79","5.79","5.79"
06/20/2001,"5.72","5.72","5.72","5.72"
06/19/2001,"5.60","5.60","5.60","5.60"
06/18/2001,"5.60","5.60","5.60","5.60"
06/15/2001,"5.66","5.66","5.66","5.66"
06/14/2001,"5.66","5.66","5.66","5.66"
06/13/2001,"5.85","5.85","5.85","5.85"
06/12/2001,"5.93","5.93","5.93","5.93"
06/11/2001,"5.94","5.94","5.94","5.94"
06/08/2001,"6.08","6.08","6.08","6.08"
06/07/2001,"6.19","6.19","6.19","6.19"
06/06/2001,"6.09","6.09","6.09","6.09"
06/05/2001,"6.14","6.14","6.14","6.14"
06/04/2001,"5.96","5.96","5.96","5.96"
06/01/2001,"5.95","5.95","5.95","5.95"
05/31/2001,"5.88","5.88","5.88","5.88"
05/30/2001,"5.82","5.82","5.82","5.82"
05/29/2001,"6.02","6.02","6.02","6.02"
05/25/2001,"6.15","6.15","6.15","6.15"
05/24/2001,"6.20","6.20","6.20","6.20"
05/23/2001,"6.14","6.14","6.14","6.14"
05/22/2001,"6.30","6.30","6.30","6.30"
05/21/2001,"6.31","6.31","6.31","6.31"
05/18/2001,"6.09","6.09","6.09","6.09"
05/17/2001,"6.08","6.08","6.08","6.08"
05/16/2001,"5.99","5.99","5.99","5.99"
05/15/2001,"5.75","5.75","5.75","5.75"
05/14/2001,"5.75","5.75","5.75","5.75"
05/11/2001,"5.79","5.79","5.79","5.79"
05/10/2001,"5.84","5.84","5.84","5.84"
05/09/2001,"5.86","5.86","5.86","5.86"
05/08/2001,"5.91","5.91","5.91","5.91"
05/07/2001,"5.88","5.88","5.88","5.88"
05/04/2001,"5.91","5.91","5.91","5.91"
05/03/2001,"5.82","5.82","5.82","5.82"
05/02/2001,"5.98","5.98","5.98","5.98"
05/01/2001,"5.94","5.94","5.94","5.94"
04/30/2001,"5.86","5.86","5.86","5.86"
04/27/2001,"5.78","5.78","5.78","5.78"
04/26/2001,"5.67","5.67","5.67","5.67"
04/25/2001,"5.65","5.65","5.65","5.65"
04/24/2001,"5.52","5.52","5.52","5.52"
04/23/2001,"5.63","5.63","5.63","5.63"
04/20/2001,"5.82","5.82","5.82","5.82"
04/19/2001,"5.89","5.89","5.89","5.89"
04/18/2001,"5.73","5.73","5.73","5.73"
04/17/2001,"5.41","5.41","5.41","5.41"
04/16/2001,"5.35","5.35","5.35","5.35"
04/12/2001,"5.44","5.44","5.44","5.44"
