Date,Open,High,Low,Close
12/31/2007,"8.30","8.30","8.30","8.30"
12/28/2007,"8.37","8.37","8.37","8.37"
12/27/2007,"8.37","8.37","8.37","8.37"
12/26/2007,"8.50","8.50","8.50","8.50"
12/24/2007,"8.45","8.45","8.45","8.45"
12/21/2007,"8.37","8.37","8.37","8.37"
12/20/2007,"8.20","8.20","8.20","8.20"
12/19/2007,"8.10","8.10","8.10","8.10"
12/18/2007,"8.08","8.08","8.08","8.08"
12/17/2007,"8.05","8.05","8.05","8.05"
12/14/2007,"8.24","8.24","8.24","8.24"
12/13/2007,"8.36","8.36","8.36","8.36"
12/12/2007,"8.38","8.38","8.38","8.38"
12/11/2007,"8.31","8.31","8.31","8.31"
12/10/2007,"8.51","8.51","8.51","8.51"
12/07/2007,"8.51","8.51","8.51","8.51"
12/06/2007,"8.53","8.53","8.53","8.53"
12/05/2007,"8.40","8.40","8.40","8.40"
12/04/2007,"8.27","8.27","8.27","8.27"
12/03/2007,"8.32","8.32","8.32","8.32"
11/30/2007,"8.37","8.37","8.37","8.37"
11/29/2007,"8.36","8.36","8.36","8.36"
11/28/2007,"8.32","8.32","8.32","8.32"
11/27/2007,"8.06","8.06","8.06","8.06"
11/26/2007,"7.96","7.96","7.96","7.96"
11/23/2007,"8.09","8.09","8.09","8.09"
11/21/2007,"7.97","7.97","7.97","7.97"
11/20/2007,"8.10","8.10","8.10","8.10"
11/19/2007,"8.02","8.02","8.02","8.02"
11/16/2007,"8.21","8.21","8.21","8.21"
11/15/2007,"8.15","8.15","8.15","8.15"
11/14/2007,"8.25","8.25","8.25","8.25"
11/13/2007,"8.27","8.27","8.27","8.27"
11/12/2007,"8.02","8.02","8.02","8.02"
11/09/2007,"8.23","8.23","8.23","8.23"
11/08/2007,"8.44","8.44","8.44","8.44"
11/07/2007,"8.52","8.52","8.52","8.52"
11/06/2007,"8.74","8.74","8.74","8.74"
11/05/2007,"8.59","8.59","8.59","8.59"
11/02/2007,"8.68","8.68","8.68","8.68"
11/01/2007,"8.65","8.65","8.65","8.65"
10/31/2007,"8.86","8.86","8.86","8.86"
10/30/2007,"8.72","8.72","8.72","8.72"
10/29/2007,"8.76","8.76","8.76","8.76"
10/26/2007,"8.68","8.68","8.68","8.68"
10/25/2007,"8.57","8.57","8.57","8.57"
10/24/2007,"8.62","8.62","8.62","8.62"
10/23/2007,"8.67","8.67","8.67","8.67"
10/22/2007,"8.50","8.50","8.50","8.50"
10/19/2007,"8.46","8.46","8.46","8.46"
10/18/2007,"8.69","8.69","8.69","8.69"
