Date,Open,High,Low,Close
12/31/2014,"13.19","13.19","13.19","13.19"
12/30/2014,"13.27","13.27","13.27","13.27"
12/29/2014,"13.36","13.36","13.36","13.36"
12/26/2014,"13.35","13.35","13.35","13.35"
12/24/2014,"13.23","13.23","13.23","13.23"
12/23/2014,"13.19","13.19","13.19","13.19"
12/22/2014,"13.29","13.29","13.29","13.29"
12/19/2014,"13.27","13.27","13.27","13.27"
12/18/2014,"13.17","13.17","13.17","13.17"
12/17/2014,"12.86","12.86","12.86","12.86"
12/16/2014,"12.51","12.51","12.51","12.51"
12/15/2014,"12.67","12.67","12.67","12.67"
12/12/2014,"12.81","12.81","12.81","12.81"
12/11/2014,"12.97","12.97","12.97","12.97"
12/10/2014,"12.90","12.90","12.90","12.90"
12/09/2014,"13.12","13.12","13.12","13.12"
12/08/2014,"13.04","13.04","13.04","13.04"
12/05/2014,"13.15","13.15","13.15","13.15"
12/04/2014,"13.58","13.58","13.58","13.58"
12/03/2014,"13.59","13.59","13.59","13.59"
12/02/2014,"13.53","13.53","13.53","13.53"
12/01/2014,"13.40","13.40","13.40","13.40"
11/28/2014,"13.61","13.61","13.61","13.61"
11/26/2014,"13.64","13.64","13.64","13.64"
11/25/2014,"13.58","13.58","13.58","13.58"
11/24/2014,"13.58","13.58","13.58","13.58"
11/21/2014,"13.48","13.48","13.48","13.48"
11/20/2014,"13.42","13.42","13.42","13.42"
11/19/2014,"13.41","13.41","13.41","13.41"
11/18/2014,"13.47","13.47","13.47","13.47"
11/17/2014,"13.34","13.34","13.34","13.34"
11/14/2014,"13.39","13.39","13.39","13.39"
11/13/2014,"13.41","13.41","13.41","13.41"
11/12/2014,"13.44","13.44","13.44","13.44"
11/11/2014,"13.42","13.42","13.42","13.42"
11/10/2014,"13.38","13.38","13.38","13.38"
11/07/2014,"13.28","13.28","13.28","13.28"
11/06/2014,"13.27","13.27","13.27","13.27"
11/05/2014,"13.15","13.15","13.15","13.15"
11/04/2014,"13.21","13.21","13.21","13.21"
11/03/2014,"13.28","13.28","13.28","13.28"
10/31/2014,"13.28","13.28","13.28","13.28"
10/30/2014,"13.12","13.12","13.12","13.12"
10/29/2014,"13.01","13.01","13.01","13.01"
10/28/2014,"13.08","13.08","13.08","13.08"
10/27/2014,"12.86","12.86","12.86","12.86"
10/24/2014,"12.88","12.88","12.88","12.88"
10/23/2014,"12.78","12.78","12.78","12.78"
10/22/2014,"12.54","12.54","12.54","12.54"
10/21/2014,"12.68","12.68","12.68","12.68"
10/20/2014,"12.40","12.40","12.40","12.40"
10/17/2014,"12.24","12.24","12.24","12.24"
10/16/2014,"12.11","12.11","12.11","12.11"
10/15/2014,"12.03","12.03","12.03","12.03"
10/14/2014,"12.00","12.00","12.00","12.00"
10/13/2014,"11.96","11.96","11.96","11.96"
10/10/2014,"12.17","12.17","12.17","12.17"
10/09/2014,"12.45","12.45","12.45","12.45"
10/08/2014,"12.73","12.73","12.73","12.73"
10/07/2014,"12.49","12.49","12.49","12.49"
10/06/2014,"12.69","12.69","12.69","12.69"
10/03/2014,"12.75","12.75","12.75","12.75"
10/02/2014,"12.59","12.59","12.59","12.59"
10/01/2014,"12.57","12.57","12.57","12.57"
09/30/2014,"12.77","12.77","12.77","12.77"
09/29/2014,"12.84","12.84","12.84","12.84"
09/26/2014,"12.86","12.86","12.86","12.86"
09/25/2014,"12.72","12.72","12.72","12.72"
09/24/2014,"12.97","12.97","12.97","12.97"
09/23/2014,"12.81","12.81","12.81","12.81"
09/22/2014,"12.86","12.86","12.86","12.86"
09/19/2014,"13.03","13.03","13.03","13.03"
09/18/2014,"13.07","13.07","13.07","13.07"
09/17/2014,"12.99","12.99","12.99","12.99"
09/16/2014,"12.95","12.95","12.95","12.95"
09/15/2014,"12.83","12.83","12.83","12.83"
09/12/2014,"12.98","12.98","12.98","12.98"
09/11/2014,"13.08","13.08","13.08","13.08"
09/10/2014,"13.05","13.05","13.05","13.05"
09/09/2014,"12.91","12.91","12.91","12.91"
09/08/2014,"13.03","13.03","13.03","13.03"
09/05/2014,"13.02","13.02","13.02","13.02"
09/04/2014,"12.97","12.97","12.97","12.97"
09/03/2014,"13.03","13.03","13.03","13.03"
09/02/2014,"13.09","13.09","13.09","13.09"
08/29/2014,"13.05","13.05","13.05","13.05"
08/28/2014,"12.98","12.98","12.98","12.98"
08/27/2014,"13.03","13.03","13.03","13.03"
08/26/2014,"13.07","13.07","13.07","13.07"
08/25/2014,"12.99","12.99","12.99","12.99"
08/22/2014,"12.91","12.91","12.91","12.91"
08/21/2014,"12.83","12.83","12.83","12.83"
08/20/2014,"12.86","12.86","12.86","12.86"
08/19/2014,"12.85","12.85","12.85","12.85"
08/18/2014,"12.78","12.78","12.78","12.78"
08/15/2014,"12.65","12.65","12.65","12.65"
08/14/2014,"12.60","12.60","12.60","12.60"
08/13/2014,"12.54","12.54","12.54","12.54"
08/12/2014,"12.43","12.43","12.43","12.43"
08/11/2014,"12.53","12.53","12.53","12.53"
08/08/2014,"12.44","12.44","12.44","12.44"
08/07/2014,"12.29","12.29","12.29","12.29"
08/06/2014,"12.37","12.37","12.37","12.37"
08/05/2014,"12.34","12.34","12.34","12.34"
08/04/2014,"12.42","12.42","12.42","12.42"
08/01/2014,"12.32","12.32","12.32","12.32"
07/31/2014,"12.35","12.35","12.35","12.35"
07/30/2014,"12.64","12.64","12.64","12.64"
07/29/2014,"12.57","12.57","12.57","12.57"
07/28/2014,"12.58","12.58","12.58","12.58"
07/25/2014,"12.61","12.61","12.61","12.61"
07/24/2014,"12.69","12.69","12.69","12.69"
07/23/2014,"12.68","12.68","12.68","12.68"
07/22/2014,"12.62","12.62","12.62","12.62"
07/21/2014,"12.51","12.51","12.51","12.51"
07/18/2014,"12.54","12.54","12.54","12.54"
07/17/2014,"12.34","12.34","12.34","12.34"
07/16/2014,"12.55","12.55","12.55","12.55"
07/15/2014,"12.55","12.55","12.55","12.55"
07/14/2014,"12.68","12.68","12.68","12.68"
07/11/2014,"12.60","12.60","12.60","12.60"
07/10/2014,"12.57","12.57","12.57","12.57"
07/09/2014,"12.63","12.63","12.63","12.63"
07/08/2014,"12.56","12.56","12.56","12.56"
07/07/2014,"12.75","12.75","12.75","12.75"
07/03/2014,"12.90","12.90","12.90","12.90"
07/02/2014,"12.82","12.82","12.82","12.82"
07/01/2014,"12.84","12.84","12.84","12.84"
06/30/2014,"12.69","12.69","12.69","12.69"
06/27/2014,"12.68","12.68","12.68","12.68"
06/26/2014,"12.65","12.65","12.65","12.65"
06/25/2014,"12.67","12.67","12.67","12.67"
06/24/2014,"12.57","12.57","12.57","12.57"
06/23/2014,"12.67","12.67","12.67","12.67"
06/20/2014,"12.69","12.69","12.69","12.69"
06/19/2014,"12.65","12.65","12.65","12.65"
06/18/2014,"12.66","12.66","12.66","12.66"
06/17/2014,"12.56","12.56","12.56","12.56"
06/16/2014,"12.50","12.50","12.50","12.50"
06/13/2014,"12.46","12.46","12.46","12.46"
06/12/2014,"12.41","12.41","12.41","12.41"
06/11/2014,"12.52","12.52","12.52","12.52"
06/10/2014,"12.53","12.53","12.53","12.53"
06/09/2014,"12.49","12.49","12.49","12.49"
06/06/2014,"12.46","12.46","12.46","12.46"
06/05/2014,"12.37","12.37","12.37","12.37"
06/04/2014,"12.27","12.27","12.27","12.27"
06/03/2014,"12.23","12.23","12.23","12.23"
06/02/2014,"12.26","12.26","12.26","12.26"
05/30/2014,"12.27","12.27","12.27","12.27"
05/29/2014,"12.30","12.30","12.30","12.30"
05/28/2014,"12.22","12.22","12.22","12.22"
05/27/2014,"12.27","12.27","12.27","12.27"
05/23/2014,"12.11","12.11","12.11","12.11"
05/22/2014,"12.01","12.01","12.01","12.01"
05/21/2014,"11.90","11.90","11.90","11.90"
05/20/2014,"11.84","11.84","11.84","11.84"
05/19/2014,"11.94","11.94","11.94","11.94"
05/16/2014,"11.83","11.83","11.83","11.83"
05/15/2014,"11.77","11.77","11.77","11.77"
05/14/2014,"11.89","11.89","11.89","11.89"
05/13/2014,"11.94","11.94","11.94","11.94"
05/12/2014,"11.97","11.97","11.97","11.97"
05/09/2014,"11.73","11.73","11.73","11.73"
05/08/2014,"11.66","11.66","11.66","11.66"
05/07/2014,"11.72","11.72","11.72","11.72"
05/06/2014,"11.76","11.76","11.76","11.76"
05/05/2014,"11.95","11.95","11.95","11.95"
05/02/2014,"11.88","11.88","11.88","11.88"
05/01/2014,"11.93","11.93","11.93","11.93"
04/30/2014,"11.88","11.88","11.88","11.88"
04/29/2014,"11.85","11.85","11.85","11.85"
04/28/2014,"11.72","11.72","11.72","11.72"
04/25/2014,"11.78","11.78","11.78","11.78"
04/24/2014,"12.03","12.03","12.03","12.03"
04/23/2014,"12.03","12.03","12.03","12.03"
04/22/2014,"12.16","12.16","12.16","12.16"
04/21/2014,"12.01","12.01","12.01","12.01"
04/17/2014,"11.94","11.94","11.94","11.94"
04/16/2014,"11.93","11.93","11.93","11.93"
04/15/2014,"11.74","11.74","11.74","11.74"
04/14/2014,"11.66","11.66","11.66","11.66"
04/11/2014,"11.59","11.59","11.59","11.59"
04/10/2014,"11.79","11.79","11.79","11.79"
04/09/2014,"12.20","12.20","12.20","12.20"
04/08/2014,"11.93","11.93","11.93","11.93"
04/07/2014,"11.83","11.83","11.83","11.83"
04/04/2014,"11.95","11.95","11.95","11.95"
04/03/2014,"12.26","12.26","12.26","12.26"
04/02/2014,"12.42","12.42","12.42","12.42"
04/01/2014,"12.41","12.41","12.41","12.41"
03/31/2014,"12.23","12.23","12.23","12.23"
