Date,Open,High,Low,Close,Adj Close,Volume
2022-08-01,409.149994,431.730011,395.040009,395.179993,388.830475,1443394400
2022-09-01,392.890015,411.730011,357.040009,357.179993,351.441040,1998908600
2022-10-01,361.079987,389.519989,348.109985,386.209991,381.565582,2024732000
2022-11-01,390.140015,407.679993,368.790009,407.679993,402.777405,1745985300
2022-12-01,408.769989,410.489990,374.769989,382.429993,377.831024,1735973600
2023-01-01,384.369995,408.160004,377.829987,406.480011,403.435974,1575450100
2023-02-01,405.209991,418.309998,393.640015,396.260010,393.292480,1603094700
2023-03-01,395.410004,409.700012,380.649994,409.390015,406.324188,2515995800
2023-04-01,408.850006,415.940002,403.779999,415.929993,414.390686,1395683000
2023-05-01,415.470001,422.579987,403.739990,417.850006,416.303619,1780705600
2023-06-01,418.089996,444.299988,416.790009,443.279999,441.639496,1749755000
2023-07-01,442.920013,459.440002,437.059998,457.790009,457.790009,1374483900
2023-07-31,457.410004,458.160004,456.045013,457.790009,457.790009,61433094
